Gene_ID,Ensembl_ID,Gene_Name,Gene_Biotype,Gene_Length
ENSG00000163645_ERICH6,ENSG00000163645,ERICH6,protein_coding,44087
ENSG00000240137_ERICH6-AS1,ENSG00000240137,ERICH6-AS1,antisense,16583
ENSG00000244668_SNRPCP3,ENSG00000244668,SNRPCP3,processed_pseudogene,840
ENSG00000181788_SIAH2,ENSG00000181788,SIAH2,protein_coding,22351
ENSG00000244265_SIAH2-AS1,ENSG00000244265,SIAH2-AS1,antisense,602
ENSG00000239265_CLRN1-AS1,ENSG00000239265,CLRN1-AS1,antisense,228243
ENSG00000214237_MINDY4B,ENSG00000214237,MINDY4B,protein_coding,34395
ENSG00000260234_AC020636.2,ENSG00000260234,AC020636.2,protein_coding,58747
ENSG00000243273_AC020636.1,ENSG00000243273,AC020636.1,antisense,148183
ENSG00000163646_CLRN1,ENSG00000163646,CLRN1,protein_coding,46837
ENSG00000276055_RF02089,ENSG00000276055,RF02089,misc_RNA,79
ENSG00000144893_MED12L,ENSG00000144893,MED12L,protein_coding,351376
ENSG00000199994_RNA5SP145,ENSG00000199994,RNA5SP145,rRNA_pseudogene,125
ENSG00000174946_GPR171,ENSG00000174946,GPR171,protein_coding,5370
ENSG00000174944_P2RY14,ENSG00000174944,P2RY14,protein_coding,66351
ENSG00000239570_SETP11,ENSG00000239570,SETP11,processed_pseudogene,690
ENSG00000138271_GPR87,ENSG00000138271,GPR87,protein_coding,22867
ENSG00000181631_P2RY13,ENSG00000181631,P2RY13,protein_coding,3237
ENSG00000169313_P2RY12,ENSG00000169313,P2RY12,protein_coding,47433
ENSG00000152580_IGSF10,ENSG00000152580,IGSF10,protein_coding,33326
ENSG00000242810_MRPL42P6,ENSG00000242810,MRPL42P6,processed_pseudogene,371
ENSG00000242119_AC117454.1,ENSG00000242119,AC117454.1,processed_pseudogene,168
ENSG00000264330_MIR5186,ENSG00000264330,MIR5186,miRNA,120
ENSG00000241151_LINC02066,ENSG00000241151,LINC02066,lincRNA,20793
ENSG00000197953_AADACL2,ENSG00000197953,AADACL2,protein_coding,27424
ENSG00000242908_AADACL2-AS1,ENSG00000242908,AADACL2-AS1,antisense,176733
ENSG00000242097_AC068647.1,ENSG00000242097,AC068647.1,processed_pseudogene,2265
ENSG00000240602_AADACP1,ENSG00000240602,AADACP1,transcribed_unprocessed_pseudogene,14467
ENSG00000250271_AC068647.2,ENSG00000250271,AC068647.2,transcribed_unprocessed_pseudogene,11203
ENSG00000114771_AADAC,ENSG00000114771,AADAC,protein_coding,14452
ENSG00000198829_SUCNR1,ENSG00000198829,SUCNR1,protein_coding,10977
ENSG00000239941_AC108718.1,ENSG00000239941,AC108718.1,lincRNA,33552
ENSG00000152601_MBNL1,ENSG00000152601,MBNL1,protein_coding,221953
ENSG00000229619_MBNL1-AS1,ENSG00000229619,MBNL1-AS1,antisense,6940
ENSG00000221962_TMEM14EP,ENSG00000221962,TMEM14EP,transcribed_processed_pseudogene,1296
ENSG00000201217_RF00019,ENSG00000201217,RF00019,misc_RNA,113
ENSG00000243305_AC026347.1,ENSG00000243305,AC026347.1,antisense,39055
ENSG00000244545_AC092924.1,ENSG00000244545,AC092924.1,lincRNA,2302
ENSG00000242561_ATP5MGP5,ENSG00000242561,ATP5MGP5,processed_pseudogene,299
ENSG00000169860_P2RY1,ENSG00000169860,P2RY1,protein_coding,6747
ENSG00000241810_HMGN2P13,ENSG00000241810,HMGN2P13,processed_pseudogene,274
ENSG00000241671_AC117394.1,ENSG00000241671,AC117394.1,processed_pseudogene,567
ENSG00000244268_AC117394.2,ENSG00000244268,AC117394.2,antisense,5265
ENSG00000181467_RAP2B,ENSG00000181467,RAP2B,protein_coding,8351
ENSG00000265813_RN7SL300P,ENSG00000265813,RN7SL300P,misc_RNA,318
ENSG00000241220_AC078788.1,ENSG00000241220,AC078788.1,lincRNA,17080
ENSG00000241912_AC078788.2,ENSG00000241912,AC078788.2,lincRNA,732
ENSG00000238755_LINC02006,ENSG00000238755,LINC02006,processed_transcript,595253
ENSG00000237787_C3orf79,ENSG00000237787,C3orf79,lincRNA,70842
ENSG00000207323_RNU6-901P,ENSG00000207323,RNU6-901P,snRNA,106
ENSG00000200162_RF00019,ENSG00000200162,RF00019,misc_RNA,103
ENSG00000243486_AC068985.1,ENSG00000243486,AC068985.1,lincRNA,59311
ENSG00000201398_RF00096,ENSG00000201398,RF00096,snoRNA,136
ENSG00000240068_RPL21P42,ENSG00000240068,RPL21P42,processed_pseudogene,464
ENSG00000243069_ARHGEF26-AS1,ENSG00000243069,ARHGEF26-AS1,processed_transcript,96932
ENSG00000114790_ARHGEF26,ENSG00000114790,ARHGEF26,protein_coding,136825
ENSG00000174953_DHX36,ENSG00000174953,DHX36,protein_coding,51952
ENSG00000271922_RF01210,ENSG00000271922,RF01210,snoRNA,104
ENSG00000279305_AC134026.1,ENSG00000279305,AC134026.1,TEC,2239
ENSG00000174948_GPR149,ENSG00000174948,GPR149,protein_coding,92044
ENSG00000240048_DDX50P2,ENSG00000240048,DDX50P2,processed_pseudogene,2664
ENSG00000243861_AC092994.1,ENSG00000243861,AC092994.1,lincRNA,27775
ENSG00000243154_SYPL1P1,ENSG00000243154,SYPL1P1,processed_pseudogene,768
ENSG00000242151_DYNLL1P5,ENSG00000242151,DYNLL1P5,processed_pseudogene,270
ENSG00000240601_RPL9P15,ENSG00000240601,RPL9P15,processed_pseudogene,532
ENSG00000243969_AC073359.2,ENSG00000243969,AC073359.2,lincRNA,34002
ENSG00000243953_AC073359.1,ENSG00000243953,AC073359.1,lincRNA,941
ENSG00000196549_MME,ENSG00000196549,MME,protein_coding,159606
ENSG00000240666_MME-AS1,ENSG00000240666,MME-AS1,antisense,24916
ENSG00000241336_LINC01487,ENSG00000241336,LINC01487,lincRNA,2200
ENSG00000240045_DWORF,ENSG00000240045,DWORF,protein_coding,3547
ENSG00000242790_AC104831.1,ENSG00000242790,AC104831.1,lincRNA,2989
ENSG00000239443_PABPC1P10,ENSG00000239443,PABPC1P10,processed_pseudogene,381
ENSG00000114805_PLCH1,ENSG00000114805,PLCH1,protein_coding,369488
ENSG00000248772_AC108729.3,ENSG00000248772,AC108729.3,unprocessed_pseudogene,108
ENSG00000243518_AC108729.2,ENSG00000243518,AC108729.2,processed_pseudogene,2071
ENSG00000242152_AC108729.1,ENSG00000242152,AC108729.1,processed_pseudogene,2170
ENSG00000272096_RN7SL715P,ENSG00000272096,RN7SL715P,misc_RNA,286
ENSG00000239508_PLCH1-AS1,ENSG00000239508,PLCH1-AS1,antisense,8570
ENSG00000242925_PLCH1-AS2,ENSG00000242925,PLCH1-AS2,antisense,1319
ENSG00000239212_RPL6P7,ENSG00000239212,RPL6P7,processed_pseudogene,853
ENSG00000214919_AC104472.1,ENSG00000214919,AC104472.1,sense_intronic,1585
ENSG00000241307_AC104472.2,ENSG00000241307,AC104472.2,processed_pseudogene,601
ENSG00000174928_C3orf33,ENSG00000174928,C3orf33,protein_coding,43735
ENSG00000284952_AC104472.3,ENSG00000284952,AC104472.3,protein_coding,91400
ENSG00000169359_SLC33A1,ENSG00000169359,SLC33A1,protein_coding,33433
ENSG00000163655_GMPS,ENSG00000163655,GMPS,protein_coding,73491
ENSG00000240489_SETP14,ENSG00000240489,SETP14,processed_pseudogene,873
ENSG00000174930_VN2R1P,ENSG00000174930,VN2R1P,unitary_pseudogene,18002
ENSG00000169282_KCNAB1,ENSG00000169282,KCNAB1,protein_coding,501438
ENSG00000242017_ALG1L15P,ENSG00000242017,ALG1L15P,processed_pseudogene,794
ENSG00000242537_MRE11P1,ENSG00000242537,MRE11P1,processed_pseudogene,2767
ENSG00000227709_AC091607.1,ENSG00000227709,AC091607.1,processed_pseudogene,1060
ENSG00000240596_KCNAB1-AS2,ENSG00000240596,KCNAB1-AS2,antisense,12324
ENSG00000242370_KCNAB1-AS1,ENSG00000242370,KCNAB1-AS1,antisense,5749
ENSG00000272990_AC084036.1,ENSG00000272990,AC084036.1,antisense,508
ENSG00000114850_SSR3,ENSG00000114850,SSR3,protein_coding,15045
ENSG00000243926_TIPARP-AS1,ENSG00000243926,TIPARP-AS1,bidirectional_promoter_lncRNA,2517
ENSG00000163659_TIPARP,ENSG00000163659,TIPARP,protein_coding,33536
ENSG00000174912_METTL15P1,ENSG00000174912,METTL15P1,processed_pseudogene,1045
ENSG00000240875_LINC00886,ENSG00000240875,LINC00886,lincRNA,69717
ENSG00000230457_PA2G4P4,ENSG00000230457,PA2G4P4,processed_pseudogene,1182
ENSG00000197980_LEKR1,ENSG00000197980,LEKR1,protein_coding,220649
ENSG00000241879_KLF3P2,ENSG00000241879,KLF3P2,processed_pseudogene,268
ENSG00000239706_AC117392.1,ENSG00000239706,AC117392.1,processed_pseudogene,596
ENSG00000222499_RN7SKP177,ENSG00000222499,RN7SKP177,misc_RNA,355
ENSG00000243629_LINC00880,ENSG00000243629,LINC00880,lincRNA,41338
ENSG00000241544_LINC02029,ENSG00000241544,LINC02029,lincRNA,6707
ENSG00000241135_LINC00881,ENSG00000241135,LINC00881,lincRNA,11255
ENSG00000163660_CCNL1,ENSG00000163660,CCNL1,protein_coding,14253
ENSG00000201778_RF00019,ENSG00000201778,RF00019,misc_RNA,93
ENSG00000244515_KRT18P34,ENSG00000244515,KRT18P34,processed_pseudogene,1270
ENSG00000241770_AC104411.1,ENSG00000241770,AC104411.1,antisense,5682
ENSG00000222675_RNA5SP146,ENSG00000222675,RNA5SP146,rRNA_pseudogene,123
ENSG00000243176_AC092944.1,ENSG00000243176,AC092944.1,processed_transcript,206043
ENSG00000270981_AC092944.2,ENSG00000270981,AC092944.2,processed_pseudogene,889
ENSG00000197415_VEPH1,ENSG00000197415,VEPH1,protein_coding,273878
ENSG00000163661_PTX3,ENSG00000163661,PTX3,protein_coding,6840
ENSG00000174899_PQLC2L,ENSG00000174899,PQLC2L,protein_coding,134504
ENSG00000251751_RN7SKP46,ENSG00000251751,RN7SKP46,misc_RNA,234
ENSG00000239716_AC079943.1,ENSG00000239716,AC079943.1,lincRNA,1576
ENSG00000242536_AC079943.2,ENSG00000242536,AC079943.2,lincRNA,72782
ENSG00000168779_SHOX2,ENSG00000168779,SHOX2,protein_coding,10550
ENSG00000174891_RSRC1,ENSG00000174891,RSRC1,protein_coding,439876
ENSG00000241723_AC074276.1,ENSG00000241723,AC074276.1,processed_pseudogene,613
ENSG00000277143_AC074276.2,ENSG00000277143,AC074276.2,processed_pseudogene,348
ENSG00000243314_AC106707.2,ENSG00000243314,AC106707.2,processed_pseudogene,374
ENSG00000243150_AC106707.1,ENSG00000243150,AC106707.1,antisense,25847
ENSG00000178053_MLF1,ENSG00000178053,MLF1,protein_coding,36090
ENSG00000243025_MTAPP1,ENSG00000243025,MTAPP1,processed_pseudogene,1248
ENSG00000243165_AC025033.1,ENSG00000243165,AC025033.1,processed_pseudogene,194
ENSG00000168827_GFM1,ENSG00000168827,GFM1,protein_coding,48298
ENSG00000079257_LXN,ENSG00000079257,LXN,protein_coding,26872
ENSG00000272087_AC080013.4,ENSG00000272087,AC080013.4,lincRNA,649
ENSG00000272440_AC080013.6,ENSG00000272440,AC080013.6,lincRNA,215
ENSG00000118849_RARRES1,ENSG00000118849,RARRES1,protein_coding,35805
ENSG00000118855_MFSD1,ENSG00000118855,MFSD1,protein_coding,97522
ENSG00000240207_AC080013.1,ENSG00000240207,AC080013.1,antisense,51808
ENSG00000243675_AC080013.2,ENSG00000243675,AC080013.2,processed_pseudogene,323
ENSG00000271778_AC080013.3,ENSG00000271778,AC080013.3,sense_intronic,578
ENSG00000272247_AC080013.5,ENSG00000272247,AC080013.5,antisense,679
ENSG00000232374_GPR79,ENSG00000232374,GPR79,processed_pseudogene,868
ENSG00000279311_AC092999.1,ENSG00000279311,AC092999.1,TEC,1924
ENSG00000283154_IQCJ-SCHIP1,ENSG00000283154,IQCJ-SCHIP1,protein_coding,935132
ENSG00000214216_IQCJ,ENSG00000214216,IQCJ,protein_coding,303380
ENSG00000263634_MIR3919,ENSG00000263634,MIR3919,miRNA,89
ENSG00000244249_AC063955.1,ENSG00000244249,AC063955.1,processed_pseudogene,685
ENSG00000243116_AC092943.1,ENSG00000243116,AC092943.1,processed_pseudogene,878
ENSG00000241211_IQCJ-SCHIP1-AS1,ENSG00000241211,IQCJ-SCHIP1-AS1,antisense,3226
ENSG00000252763_RNU2-31P,ENSG00000252763,RNU2-31P,snRNA,155
ENSG00000151967_SCHIP1,ENSG00000151967,SCHIP1,protein_coding,57500
ENSG00000244040_IL12A-AS1,ENSG00000244040,IL12A-AS1,antisense,315918
ENSG00000168811_IL12A,ENSG00000168811,IL12A,protein_coding,7270
ENSG00000242107_LINC01100,ENSG00000242107,LINC01100,lincRNA,15400
ENSG00000184100_BRD7P2,ENSG00000184100,BRD7P2,processed_pseudogene,1944
ENSG00000180044_C3orf80,ENSG00000180044,C3orf80,protein_coding,2718
ENSG00000248710_AC079594.2,ENSG00000248710,AC079594.2,protein_coding,222376
ENSG00000068885_IFT80,ENSG00000068885,IFT80,protein_coding,142895
ENSG00000243687_AC079594.1,ENSG00000243687,AC079594.1,processed_pseudogene,331
ENSG00000113810_SMC4,ENSG00000113810,SMC4,protein_coding,35689
ENSG00000207779_MIR15B,ENSG00000207779,MIR15B,miRNA,98
ENSG00000198987_MIR16-2,ENSG00000198987,MIR16-2,miRNA,81
ENSG00000213186_TRIM59,ENSG00000213186,TRIM59,protein_coding,53329
ENSG00000244009_B3GAT3P1,ENSG00000244009,B3GAT3P1,processed_pseudogene,806
ENSG00000238427_RNU7-136P,ENSG00000238427,RNU7-136P,snRNA,69
ENSG00000186432_KPNA4,ENSG00000186432,KPNA4,protein_coding,70594
ENSG00000238741_SCARNA7,ENSG00000238741,SCARNA7,scaRNA,330
ENSG00000229320_KRT8P12,ENSG00000229320,KRT8P12,transcribed_processed_pseudogene,3802
ENSG00000242285_RPL6P8,ENSG00000242285,RPL6P8,processed_pseudogene,843
ENSG00000179674_ARL14,ENSG00000179674,ARL14,protein_coding,1294
ENSG00000207084_RF00139,ENSG00000207084,RF00139,snoRNA,132
ENSG00000260572_AC069224.1,ENSG00000260572,AC069224.1,antisense,1715
ENSG00000163590_PPM1L,ENSG00000163590,PPM1L,protein_coding,323306
ENSG00000169255_B3GALNT1,ENSG00000169255,B3GALNT1,protein_coding,21502
ENSG00000169251_NMD3,ENSG00000169251,NMD3,protein_coding,148837
ENSG00000271052_AC108738.1,ENSG00000271052,AC108738.1,processed_pseudogene,237
ENSG00000240138_EEF1GP4,ENSG00000240138,EEF1GP4,processed_pseudogene,1307
ENSG00000243838_PSMC1P7,ENSG00000243838,PSMC1P7,processed_pseudogene,1315
ENSG00000196542_SPTSSB,ENSG00000196542,SPTSSB,protein_coding,28089
ENSG00000240567_LINC02067,ENSG00000240567,LINC02067,lincRNA,21816
ENSG00000269888_AC112491.1,ENSG00000269888,AC112491.1,lincRNA,502
ENSG00000234851_RPL23AP42,ENSG00000234851,RPL23AP42,processed_pseudogene,471
ENSG00000182447_OTOL1,ENSG00000182447,OTOL1,protein_coding,7135
ENSG00000240354_AC131211.1,ENSG00000240354,AC131211.1,lincRNA,5000
ENSG00000241874_TOMM22P6,ENSG00000241874,TOMM22P6,processed_pseudogene,409
ENSG00000243044_AC128716.1,ENSG00000243044,AC128716.1,processed_pseudogene,166
ENSG00000241168_AC128685.1,ENSG00000241168,AC128685.1,lincRNA,205754
ENSG00000244571_RPS6P4,ENSG00000244571,RPS6P4,processed_pseudogene,758
ENSG00000241369_LINC01192,ENSG00000241369,LINC01192,lincRNA,233641
ENSG00000238924_RNU7-82P,ENSG00000238924,RNU7-82P,snRNA,62
ENSG00000240792_AC079910.1,ENSG00000240792,AC079910.1,lincRNA,4299
ENSG00000214210_AC084017.1,ENSG00000214210,AC084017.1,processed_pseudogene,860
ENSG00000221251_MIR1263,ENSG00000221251,MIR1263,miRNA,86
ENSG00000241636_LINC01323,ENSG00000241636,LINC01323,lincRNA,15199
ENSG00000241767_LINC01324,ENSG00000241767,LINC01324,lincRNA,117386
ENSG00000090402_SI,ENSG00000090402,SI,protein_coding,99598
ENSG00000200052_RF00019,ENSG00000200052,RF00019,misc_RNA,111
ENSG00000239205_LINC02023,ENSG00000239205,LINC02023,lincRNA,8057
ENSG00000121871_SLITRK3,ENSG00000121871,SLITRK3,protein_coding,10390
ENSG00000244128_LINC01322,ENSG00000244128,LINC01322,lincRNA,448464
ENSG00000114200_BCHE,ENSG00000114200,BCHE,protein_coding,64569
ENSG00000242178_MTND4P17,ENSG00000242178,MTND4P17,processed_pseudogene,350
ENSG00000240084_MTND4LP10,ENSG00000240084,MTND4LP10,processed_pseudogene,291
ENSG00000240824_MTND3P7,ENSG00000240824,MTND3P7,processed_pseudogene,343
ENSG00000242456_MTCO3P38,ENSG00000242456,MTCO3P38,processed_pseudogene,766
ENSG00000242326_MCUR1P2,ENSG00000242326,MCUR1P2,processed_pseudogene,508
ENSG00000244429_AC104629.1,ENSG00000244429,AC104629.1,processed_pseudogene,598
ENSG00000244321_LINC01326,ENSG00000244321,LINC01326,lincRNA,1071
ENSG00000274149_AC072046.2,ENSG00000274149,AC072046.2,processed_pseudogene,268
ENSG00000251759_RN7SKP298,ENSG00000251759,RN7SKP298,misc_RNA,94
ENSG00000224962_PSAT1P4,ENSG00000224962,PSAT1P4,processed_pseudogene,526
ENSG00000240458_AC072046.1,ENSG00000240458,AC072046.1,processed_pseudogene,153
ENSG00000231516_CBX1P5,ENSG00000231516,CBX1P5,processed_pseudogene,559
ENSG00000240033_AC069439.2,ENSG00000240033,AC069439.2,lincRNA,9936
ENSG00000239227_AC069439.1,ENSG00000239227,AC069439.1,processed_pseudogene,167
ENSG00000220343_PPIAP74,ENSG00000220343,PPIAP74,processed_pseudogene,490
ENSG00000169064_ZBBX,ENSG00000169064,ZBBX,protein_coding,141060
ENSG00000241669_LINC01327,ENSG00000241669,LINC01327,lincRNA,15724
ENSG00000114204_SERPINI2,ENSG00000114204,SERPINI2,protein_coding,37216
ENSG00000174776_WDR49,ENSG00000174776,WDR49,protein_coding,175300
ENSG00000114209_PDCD10,ENSG00000114209,PDCD10,protein_coding,51642
ENSG00000241120_HMGN1P8,ENSG00000241120,HMGN1P8,processed_pseudogene,288
ENSG00000163536_SERPINI1,ENSG00000163536,SERPINI1,protein_coding,90326
ENSG00000244227_LRRC77P,ENSG00000244227,LRRC77P,transcribed_unitary_pseudogene,59239
ENSG00000244706_AC026353.1,ENSG00000244706,AC026353.1,lincRNA,4478
ENSG00000239238_MEMO1P3,ENSG00000239238,MEMO1P3,processed_pseudogene,302
ENSG00000242036_AC128713.1,ENSG00000242036,AC128713.1,processed_pseudogene,306
ENSG00000241203_HMGN2P26,ENSG00000241203,HMGN2P26,processed_pseudogene,339
ENSG00000173905_GOLIM4,ENSG00000173905,GOLIM4,protein_coding,87299
ENSG00000206120_EGFEM1P,ENSG00000206120,EGFEM1P,transcribed_unitary_pseudogene,581078
ENSG00000241882_AC124893.1,ENSG00000241882,AC124893.1,lincRNA,2676
ENSG00000222357_RNU2-20P,ENSG00000222357,RNU2-20P,snRNA,191
ENSG00000207717_MIR551B,ENSG00000207717,MIR551B,miRNA,96
ENSG00000226765_RPSAP33,ENSG00000226765,RPSAP33,processed_pseudogene,865
ENSG00000231688_RPL21P43,ENSG00000231688,RPL21P43,processed_pseudogene,472
ENSG00000242268_LINC02082,ENSG00000242268,LINC02082,lincRNA,18631
ENSG00000272797_AC092954.1,ENSG00000272797,AC092954.1,lincRNA,445
ENSG00000273177_AC092954.2,ENSG00000273177,AC092954.2,lincRNA,430
ENSG00000241383_LINC01997,ENSG00000241383,LINC01997,lincRNA,2393
ENSG00000085276_MECOM,ENSG00000085276,MECOM,protein_coding,580120
ENSG00000241479_AC074033.1,ENSG00000241479,AC074033.1,antisense,29186
ENSG00000213178_RPL22P1,ENSG00000213178,RPL22P1,processed_pseudogene,410
ENSG00000242795_AC007849.1,ENSG00000242795,AC007849.1,sense_intronic,10442
ENSG00000244381_AC007849.2,ENSG00000244381,AC007849.2,processed_pseudogene,471
ENSG00000206777_RNU6-637P,ENSG00000206777,RNU6-637P,snRNA,107
ENSG00000270141_TERC,ENSG00000270141,TERC,lincRNA,541
ENSG00000277925_RF00024,ENSG00000277925,RF00024,misc_RNA,438
ENSG00000184378_ACTRT3,ENSG00000184378,ACTRT3,protein_coding,2975
ENSG00000269889_AC078802.1,ENSG00000269889,AC078802.1,antisense,2395
ENSG00000085274_MYNN,ENSG00000085274,MYNN,protein_coding,16886
ENSG00000269984_AC078795.1,ENSG00000269984,AC078795.1,antisense,3143
ENSG00000171757_LRRC34,ENSG00000171757,LRRC34,protein_coding,19559
ENSG00000270135_AC078795.3,ENSG00000270135,AC078795.3,antisense,472
ENSG00000270096_AC078795.2,ENSG00000270096,AC078795.2,antisense,1252
ENSG00000188306_LRRIQ4,ENSG00000188306,LRRIQ4,protein_coding,15854
ENSG00000114248_LRRC31,ENSG00000114248,LRRC31,protein_coding,30752
ENSG00000240128_KRT18P43,ENSG00000240128,KRT18P43,processed_pseudogene,1281
ENSG00000187033_SAMD7,ENSG00000187033,SAMD7,protein_coding,27604
ENSG00000244039_AC008040.3,ENSG00000244039,AC008040.3,processed_pseudogene,1232
ENSG00000239219_AC008040.1,ENSG00000239219,AC008040.1,antisense,27382
ENSG00000244193_AC008040.4,ENSG00000244193,AC008040.4,transcribed_processed_pseudogene,768
ENSG00000008952_SEC62,ENSG00000008952,SEC62,protein_coding,31739
ENSG00000240373_SEC62-AS1,ENSG00000240373,SEC62-AS1,antisense,7180
ENSG00000173890_GPR160,ENSG00000173890,GPR160,protein_coding,47475
ENSG00000201342_RNU4-38P,ENSG00000201342,RNU4-38P,snRNA,129
ENSG00000242583_AC008040.2,ENSG00000242583,AC008040.2,processed_pseudogene,708
ENSG00000173889_PHC3,ENSG00000173889,PHC3,protein_coding,95018
ENSG00000268220_AC008040.5,ENSG00000268220,AC008040.5,antisense,1781
ENSG00000199536_RNU6-315P,ENSG00000199536,RNU6-315P,snRNA,107
ENSG00000163558_PRKCI,ENSG00000163558,PRKCI,protein_coding,83617
ENSG00000200118_RF00019,ENSG00000200118,RF00019,misc_RNA,100
ENSG00000239628_AC073288.1,ENSG00000239628,AC073288.1,lincRNA,8284
ENSG00000136603_SKIL,ENSG00000136603,SKIL,protein_coding,39158
ENSG00000242578_AC073288.2,ENSG00000242578,AC073288.2,lincRNA,8104
ENSG00000013297_CLDN11,ENSG00000013297,CLDN11,protein_coding,35869
ENSG00000285218_AC026316.5,ENSG00000285218,AC026316.5,protein_coding,441513
ENSG00000283474_MIR6828,ENSG00000283474,MIR6828,miRNA,60
ENSG00000285051_AC026316.4,ENSG00000285051,AC026316.4,processed_transcript,412355
ENSG00000013293_SLC7A14,ENSG00000013293,SLC7A14,protein_coding,126491
ENSG00000241416_KRT8P13,ENSG00000241416,KRT8P13,processed_pseudogene,1010
ENSG00000213174_AC026316.1,ENSG00000213174,AC026316.1,processed_pseudogene,414
ENSG00000244738_AC026316.3,ENSG00000244738,AC026316.3,sense_intronic,5562
ENSG00000239739_AC026316.2,ENSG00000239739,AC026316.2,lincRNA,1015
ENSG00000163584_RPL22L1,ENSG00000163584,RPL22L1,protein_coding,5609
ENSG00000163577_EIF5A2,ENSG00000163577,EIF5A2,protein_coding,20279
ENSG00000240704_KLF7P1,ENSG00000240704,KLF7P1,processed_pseudogene,1048
ENSG00000199488_RNU1-70P,ENSG00000199488,RNU1-70P,snRNA,164
ENSG00000163581_SLC2A2,ENSG00000163581,SLC2A2,protein_coding,30403
ENSG00000154310_TNIK,ENSG00000154310,TNIK,protein_coding,399070
ENSG00000207963_MIR569,ENSG00000207963,MIR569,miRNA,96
ENSG00000222506_RF00019,ENSG00000222506,RF00019,misc_RNA,102
ENSG00000279673_AC092919.2,ENSG00000279673,AC092919.2,TEC,1645
ENSG00000240497_AC092919.1,ENSG00000240497,AC092919.1,lincRNA,1550
ENSG00000207114_RNU6-348P,ENSG00000207114,RNU6-348P,snRNA,107
ENSG00000234594_AC008134.1,ENSG00000234594,AC008134.1,processed_pseudogene,193
ENSG00000075651_PLD1,ENSG00000075651,PLD1,protein_coding,210546
ENSG00000186329_TMEM212,ENSG00000186329,TMEM212,protein_coding,95367
ENSG00000234717_TMEM212-AS1,ENSG00000234717,TMEM212-AS1,lincRNA,24389
ENSG00000235943_TMEM212-IT1,ENSG00000235943,TMEM212-IT1,sense_intronic,805
ENSG00000075420_FNDC3B,ENSG00000075420,FNDC3B,protein_coding,362038
ENSG00000237483_RPS27AP8,ENSG00000237483,RPS27AP8,processed_pseudogene,445
ENSG00000243398_RN7SL141P,ENSG00000243398,RN7SL141P,misc_RNA,266
ENSG00000279862_AC092964.1,ENSG00000279862,AC092964.1,TEC,1399
ENSG00000236686_BZW1P1,ENSG00000236686,BZW1P1,processed_pseudogene,1240
ENSG00000121853_GHSR,ENSG00000121853,GHSR,protein_coding,3324
ENSG00000121858_TNFSF10,ENSG00000121858,TNFSF10,protein_coding,18000
ENSG00000224611_AC007919.1,ENSG00000224611,AC007919.1,processed_pseudogene,217
ENSG00000223387_LINC02068,ENSG00000223387,LINC02068,lincRNA,34720
ENSG00000224426_SLC31A1P1,ENSG00000224426,SLC31A1P1,processed_pseudogene,567
ENSG00000144959_NCEH1,ENSG00000144959,NCEH1,protein_coding,80970
ENSG00000231384_AC007919.2,ENSG00000231384,AC007919.2,processed_pseudogene,511
ENSG00000252082_RNU6-547P,ENSG00000252082,RNU6-547P,snRNA,102
ENSG00000114346_ECT2,ENSG00000114346,ECT2,protein_coding,70793
ENSG00000200355_RF00139,ENSG00000200355,RF00139,snoRNA,129
ENSG00000201458_RNU4-4P,ENSG00000201458,RNU4-4P,snRNA,130
ENSG00000227440_ATP5MC1P4,ENSG00000227440,ATP5MC1P4,processed_pseudogene,441
ENSG00000237501_AC108667.1,ENSG00000237501,AC108667.1,processed_pseudogene,249
ENSG00000144962_SPATA16,ENSG00000144962,SPATA16,protein_coding,251911
ENSG00000237473_AC068759.1,ENSG00000237473,AC068759.1,lincRNA,183229
ENSG00000169760_NLGN1,ENSG00000169760,NLGN1,protein_coding,890361
ENSG00000237645_AC092967.1,ENSG00000237645,AC092967.1,processed_pseudogene,481
ENSG00000228213_NLGN1-AS1,ENSG00000228213,NLGN1-AS1,antisense,10299
ENSG00000252982_RN7SKP234,ENSG00000252982,RN7SKP234,misc_RNA,224
ENSG00000232601_AC069218.2,ENSG00000232601,AC069218.2,processed_pseudogene,344
ENSG00000213169_AC069218.1,ENSG00000213169,AC069218.1,processed_pseudogene,762
ENSG00000177694_NAALADL2,ENSG00000177694,NAALADL2,protein_coding,1371980
ENSG00000253020_RN7SKP40,ENSG00000253020,RN7SKP40,misc_RNA,242
ENSG00000230497_EEF1B2P8,ENSG00000230497,EEF1B2P8,processed_pseudogene,671
ENSG00000230292_NAALADL2-AS3,ENSG00000230292,NAALADL2-AS3,processed_transcript,35936
ENSG00000226779_NAALADL2-AS2,ENSG00000226779,NAALADL2-AS2,antisense,36236
ENSG00000264974_MIR4789,ENSG00000264974,MIR4789,miRNA,82
ENSG00000199792_RNU6-1233P,ENSG00000199792,RNU6-1233P,snRNA,102
ENSG00000201648_RNU4-91P,ENSG00000201648,RNU4-91P,snRNA,135
ENSG00000236241_AC119744.1,ENSG00000236241,AC119744.1,processed_pseudogene,1715
ENSG00000214192_UBE2V1P2,ENSG00000214192,UBE2V1P2,processed_pseudogene,440
ENSG00000201452_RNU6-1317P,ENSG00000201452,RNU6-1317P,snRNA,104
ENSG00000225552_NAALADL2-AS1,ENSG00000225552,NAALADL2-AS1,antisense,3189
